Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Dewpoint Temperature [C](Daily),Environment:Site Outdoor Air Wetbulb Temperature [C](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Solar Azimuth Angle [deg](Daily),Environment:Site Solar Altitude Angle [deg](Daily),MYDHW_1_WATERHEATER:Water Heater Heating Energy [J](Daily),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly) 
 01/11  15:00:00,,,,,,,,,13315202.839982864,0.0,7375786.823197994 
 01/11  16:00:00,,,,,,,,,14226880.38593778,0.0,4566240.878071144 
 01/11  17:00:00,,,,,,,,,17158162.08671002,0.0,7375810.501877168 
 01/11  18:00:00,,,,,,,,,17738976.308039952,0.0,7844282.830546027 
 01/11  19:00:00,,,,,,,,,17749699.690344334,0.0,7843458.8224152 
 01/11  20:00:00,,,,,,,,,89794.6654141212,0.0,7843286.922390179 
 01/11  21:00:00,,,,,,,,,1310597.755067944,0.0,8288029.619656885 
 01/11  22:00:00,,,,,,,,,2395525.0397771867,0.0,9173732.967821904 
 01/11  23:00:00,,,,,,,,,3250579.863369501,0.0,9128621.289598323 
 01/11  24:00:00,3.1302083333333326,1.0171875000000001,2.372332722381356,16.3828125,100.76822916666667,170.9110217294324,-19.322869432033745,53807355.37737142,3647007.8031775374,0.0,7767700.965258988 
 01/12  01:00:00,,,,,,,,,3760631.5612126035,0.0,4566240.878071144 
 01/12  02:00:00,,,,,,,,,3878347.046961109,0.0,4566240.878071144 
 01/12  03:00:00,,,,,,,,,3966573.435085342,0.0,4566240.878071144 
 01/12  04:00:00,,,,,,,,,3974812.6344322236,0.0,7220899.6664555855 
 01/12  05:00:00,,,,,,,,,3800144.260065357,0.0,4566240.878071144 
 01/12  06:00:00,,,,,,,,,3724926.3578267493,0.0,4566240.878071144 
 01/12  07:00:00,,,,,,,,,3914341.656872777,0.0,7767201.5310435435 
 01/12  08:00:00,,,,,,,,,27957875.71960353,79493.58083270815,8084264.810543761 
 01/12  09:00:00,,,,,,,,,23521914.10187857,0.0,11480121.175463162 
 01/12  10:00:00,,,,,,,,,20865543.006105036,0.0,8202361.444040039 
 01/12  11:00:00,,,,,,,,,19019348.478024743,0.0,7375246.812151032 
 01/12  12:00:00,,,,,,,,,17496226.1591227,0.0,4566240.878071144 
 01/12  13:00:00,,,,,,,,,16282774.106933627,0.0,7375383.347128612 
 01/12  14:00:00,,,,,,,,,14125625.901587803,0.0,7217552.834710431 
 01/12  15:00:00,,,,,,,,,11402357.902015826,0.0,4724258.632089712 
 01/12  16:00:00,,,,,,,,,11905290.920541948,0.0,7375708.341571469 
 01/12  17:00:00,,,,,,,,,15312260.897221498,0.0,4566240.878071144 
 01/12  18:00:00,,,,,,,,,16508920.439074865,0.0,7955767.809068623 
 01/12  19:00:00,,,,,,,,,16817493.28775225,0.0,10181341.951647125 
 01/12  20:00:00,,,,,,,,,16385.59448942943,0.0,8671519.678382881 
 01/12  21:00:00,,,,,,,,,636992.4720770009,0.0,7843865.129425187 
 01/12  22:00:00,,,,,,,,,1658445.009214109,0.0,7767764.7438802235 
 01/12  23:00:00,,,,,,,,,2371143.1959948,0.0,7767202.3442910705 
